mean_bs_c_pubs,median_bs_c_pubs,max_bs_c_pubs,min_bs_c_pubs,bs_cat,perc_below_obs
37882.257,37881.5,39027,36438,strict,0
37810.257,37728,44916,32851,open,0.1
