PM,PY,n,month,month_name,cumul_pubs
1,2025,9963,73,Jan,9963
2,2025,3142,74,Feb,13105
3,2025,3629,75,Mar,16734
4,2025,3250,76,Apr,19984
5,2025,3158,77,May,23142
6,2025,3646,78,Jun,26788
7,2025,3198,79,Jul,29986
8,2025,2907,80,Aug,32893
1,2019,11795,1,Jan,11795
2,2019,3414,2,Feb,15209
3,2019,3970,3,Mar,19179
4,2019,3740,4,Apr,22919
5,2019,3570,5,May,26489
6,2019,3752,6,Jun,30241
7,2019,3653,7,Jul,33894
8,2019,3323,8,Aug,37217
9,2019,3567,9,Sep,40784
10,2019,3821,10,Oct,44605
11,2019,3482,11,Nov,48087
12,2019,4980,12,Dec,53067
1,2020,10028,13,Jan,10028
2,2020,3554,14,Feb,13582
3,2020,4270,15,Mar,17852
4,2020,3970,16,Apr,21822
5,2020,3782,17,May,25604
6,2020,4358,18,Jun,29962
7,2020,4261,19,Jul,34223
8,2020,3978,20,Aug,38201
9,2020,4808,21,Sep,43009
10,2020,4576,22,Oct,47585
11,2020,4181,23,Nov,51766
12,2020,6069,24,Dec,57835
1,2021,10393,25,Jan,10393
2,2021,3919,26,Feb,14312
3,2021,4579,27,Mar,18891
4,2021,4213,28,Apr,23104
5,2021,4128,29,May,27232
6,2021,4620,30,Jun,31852
7,2021,4255,31,Jul,36107
8,2021,4043,32,Aug,40150
9,2021,4573,33,Sep,44723
10,2021,4254,34,Oct,48977
11,2021,3982,35,Nov,52959
12,2021,7050,36,Dec,60009
1,2022,10231,37,Jan,10231
2,2022,3866,38,Feb,14097
3,2022,4437,39,Mar,18534
4,2022,3908,40,Apr,22442
5,2022,3860,41,May,26302
6,2022,4358,42,Jun,30660
7,2022,3898,43,Jul,34558
8,2022,3786,44,Aug,38344
9,2022,4403,45,Sep,42747
10,2022,3902,46,Oct,46649
11,2022,3896,47,Nov,50545
12,2022,6519,48,Dec,57064
1,2023,11293,49,Jan,11293
2,2023,3642,50,Feb,14935
3,2023,4042,51,Mar,18977
4,2023,3639,52,Apr,22616
5,2023,3343,53,May,25959
6,2023,3883,54,Jun,29842
7,2023,3676,55,Jul,33518
8,2023,3533,56,Aug,37051
9,2023,4003,57,Sep,41054
10,2023,3777,58,Oct,44831
11,2023,3441,59,Nov,48272
12,2023,6059,60,Dec,54331
1,2024,11300,61,Jan,11300
2,2024,3314,62,Feb,14614
3,2024,3878,63,Mar,18492
4,2024,3479,64,Apr,21971
5,2024,3554,65,May,25525
6,2024,3872,66,Jun,29397
7,2024,3516,67,Jul,32913
8,2024,3408,68,Aug,36321
9,2024,3759,69,Sep,40080
10,2024,3624,70,Oct,43704
11,2024,3431,71,Nov,47135
12,2024,6272,72,Dec,53407
1,Avg. (all yrs),10840,NA,Jan,10840
2,Avg. (all yrs),3618.1666666666665,NA,Feb,14458.166666666666
3,Avg. (all yrs),4196,NA,Mar,18654.166666666668
4,Avg. (all yrs),3824.8333333333335,NA,Apr,22479
5,Avg. (all yrs),3706.1666666666665,NA,May,26185.166666666668
6,Avg. (all yrs),4140.5,NA,Jun,30325.666666666668
7,Avg. (all yrs),3876.5,NA,Jul,34202.166666666664
8,Avg. (all yrs),3678.5,NA,Aug,37880.666666666664
9,Avg. (all yrs),4185.5,NA,Sep,42066.166666666664
10,Avg. (all yrs),3992.3333333333335,NA,Oct,46058.5
11,Avg. (all yrs),3735.5,NA,Nov,49794
12,Avg. (all yrs),6158.166666666667,NA,Dec,55952.166666666664
