perc_change,uni
-6.9,florida
-7.1,harvard
-9.9,michigan
-7.2,minn
-11,ohio_state
-8.8,penn
-10.6,stanford
-13.8,ucla
-4.1,ucsd
-14.7,ucsf
-12.2,unc_ch
-8.6,washington
