value,n
scopus_id_initial,0
scopus_id_followup,0
total_pubs,740885
total_authors,6333826
total_unique_authors,1734456
total_focal,404823
total_NOTfocal,1439861
prop_papers_focal_1st,50.370705305141826
prop_papers_focal_last,47.75626446749496
