PM,PY,n,month,month_name,cumul_pubs,change_n,perc_previous
8,2019,3323,8,Aug,37217,NA,NA
8,2020,3978,20,Aug,38201,984,2.64
8,2021,4043,32,Aug,40150,1949,5.1
8,2022,3786,44,Aug,38344,-1806,-4.5
8,2023,3533,56,Aug,37051,-1293,-3.37
8,2024,3408,68,Aug,36321,-730,-1.97
8,2025,2907,80,Aug,32893,-3428,-9.44
