mean_bs_c_pubs,median_bs_c_pubs,max_bs_c_pubs,min_bs_c_pubs,bs_cat,perc_below_obs
22763.106,22755.5,24045,21580,strict,0
22708.762,22620.5,29615,18140,open,0
