SO,n,total,perc
journal of neuroscience,850,1063721,7.990817140960835e-4
drug and alcohol dependence,848,1063721,7.972015218276221e-4
ecosphere,847,1063721,7.962614256933914e-4
diabetes care,845,1063721,7.9438123342493e-4
physical review e,845,1063721,7.9438123342493e-4
science translational medicine,844,1063721,7.934411372906993e-4
anesthesia and analgesia,836,1063721,7.859203682168539e-4
frontiers in oncology,834,1063721,7.840401759483925e-4
journal of the electrochemical society,828,1063721,7.783995991430084e-4
plos pathogens,828,1063721,7.783995991430084e-4
hepatology,827,1063721,7.774595030087776e-4
current biology,826,1063721,7.76519406874547e-4
stroke,825,1063721,7.755793107403163e-4
jama surgery,823,1063721,7.736991184718549e-4
microbiology resource announcements,821,1063721,7.718189262033936e-4
acta materialia,813,1063721,7.64298157129548e-4
frontiers in public health,808,1063721,7.595976764583946e-4
environmental research,806,1063721,7.577174841899332e-4
scientific data,804,1063721,7.558372919214719e-4
american journal of cardiology,798,1063721,7.501967151160877e-4
journal of climate,793,1063721,7.454962344449344e-4
american journal of clinical nutrition,790,1063721,7.426759460422423e-4
water resources research,777,1063721,7.304546962972433e-4
american journal of public health,776,1063721,7.295146001630127e-4
american journal of gastroenterology,773,1063721,7.266943117603206e-4
bioinformatics,768,1063721,7.219938310891672e-4
pediatric blood and cancer,768,1063721,7.219938310891672e-4
journal of allergy and clinical immunology in practice,766,1063721,7.201136388207058e-4
journal of physical chemistry a,766,1063721,7.201136388207058e-4
analytical chemistry,763,1063721,7.172933504180138e-4
digestive diseases and sciences,761,1063721,7.154131581495524e-4
icarus,761,1063721,7.154131581495524e-4
journal of cardiothoracic and vascular anesthesia,759,1063721,7.13532965881091e-4
jama pediatrics,756,1063721,7.10712677478399e-4
physical chemistry chemical physics,751,1063721,7.060121968072455e-4
aids,750,1063721,7.050721006730148e-4
frontiers in physiology,750,1063721,7.050721006730148e-4
radiology,748,1063721,7.031919084045534e-4
molecular psychiatry,742,1063721,6.975513315991694e-4
american journal of tropical medicine and hygiene,740,1063721,6.956711393307079e-4
frontiers in psychiatry,739,1063721,6.947310431964773e-4
annals of thoracic surgery,735,1063721,6.909706586595545e-4
acs catalysis,731,1063721,6.872102741226318e-4
environment international,728,1063721,6.843899857199397e-4
annals of the american thoracic society,725,1063721,6.815696973172477e-4
plant disease,725,1063721,6.815696973172477e-4
journal of medical internet research,723,1063721,6.796895050487862e-4
frontiers in neuroscience,721,1063721,6.778093127803249e-4
american journal of epidemiology,719,1063721,6.759291205118635e-4
american journal of obstetrics and gynecology,719,1063721,6.759291205118635e-4
infection control and hospital epidemiology,713,1063721,6.702885437064795e-4
physics letters section b nuclear elementary particle and high energy physics,713,1063721,6.702885437064795e-4
american journal of emergency medicine,711,1063721,6.68408351438018e-4
inorganic chemistry,710,1063721,6.674682553037874e-4
journal of the national cancer institute,709,1063721,6.665281591695567e-4
