mean_bs_c_pubs,median_bs_c_pubs,max_bs_c_pubs,min_bs_c_pubs,bs_cat,perc_below_obs
20571.715,20564.5,21796,19100,strict,0
20542.06,20508,27297,15408,open,0.1
