value,n
scopus_id_initial,458
scopus_id_followup,1240
total_pubs,740800
total_authors,6332969
total_unique_authors,1734321
total_focal,404446
total_NOTfocal,1440228
prop_papers_focal_1st,50.34840712742981
prop_papers_focal_last,47.7402807775378
