PM,PY,n,month,month_name,cumul_pubs,change_n,perc_previous
7,2019,2165,7,Jul,22032,NA,NA
7,2020,2470,19,Jul,21089,-943,-4.28
7,2021,2368,31,Jul,22078,989,4.69
7,2022,2207,43,Jul,20211,-1867,-8.46
7,2023,2074,55,Jul,19734,-477,-2.36
7,2024,1797,67,Jul,18227,-1507,-7.64
7,2025,1477,79,Jul,15589,-2638,-14.47
