PM,PY,agency_primary,n,month,month_name,cumul_pubs,change_n,perc_previous
7,2019,commerce,121,55,Jul,1091,NA,NA
7,2020,commerce,120,163,Jul,1016,-75,-6.9
7,2021,commerce,108,271,Jul,1049,33,3.2
7,2022,commerce,109,379,Jul,953,-96,-9.2
7,2023,commerce,93,487,Jul,911,-42,-4.4
7,2024,commerce,88,595,Jul,842,-69,-7.6
7,2025,commerce,65,703,Jul,680,-162,-19.2
7,2019,dod,271,56,Jul,3094,NA,NA
7,2020,dod,301,164,Jul,2722,-372,-12
7,2021,dod,275,272,Jul,2769,47,1.7
7,2022,dod,234,380,Jul,2331,-438,-15.8
7,2023,dod,307,488,Jul,2541,210,9
7,2024,dod,225,596,Jul,2427,-114,-4.5
7,2025,dod,192,704,Jul,1983,-444,-18.3
7,2019,doe,498,57,Jul,4800,NA,NA
7,2020,doe,680,165,Jul,4884,84,1.8
7,2021,doe,580,273,Jul,5361,477,9.8
7,2022,doe,554,381,Jul,4845,-516,-9.6
7,2023,doe,501,489,Jul,4566,-279,-5.8
7,2024,doe,477,597,Jul,4250,-316,-6.9
7,2025,doe,384,705,Jul,3855,-395,-9.3
7,2019,hhs,487,58,Jul,4885,NA,NA
7,2020,hhs,515,166,Jul,4676,-209,-4.3
7,2021,hhs,568,274,Jul,5107,431,9.2
7,2022,hhs,489,382,Jul,4531,-576,-11.3
7,2023,hhs,397,490,Jul,4321,-210,-4.6
7,2024,hhs,397,598,Jul,3805,-516,-11.9
7,2025,hhs,296,706,Jul,3258,-547,-14.4
7,2019,interior,62,59,Jul,835,NA,NA
7,2020,interior,95,167,Jul,871,36,4.3
7,2021,interior,96,275,Jul,850,-21,-2.4
7,2022,interior,88,383,Jul,805,-45,-5.3
7,2023,interior,62,491,Jul,844,39,4.8
7,2024,interior,64,599,Jul,780,-64,-7.6
7,2025,interior,49,707,Jul,613,-167,-21.4
7,2019,nasa,71,60,Jul,740,NA,NA
7,2020,nasa,90,168,Jul,751,11,1.5
7,2021,nasa,76,276,Jul,790,39,5.2
7,2022,nasa,78,384,Jul,702,-88,-11.1
7,2023,nasa,83,492,Jul,720,18,2.6
7,2024,nasa,82,600,Jul,704,-16,-2.2
7,2025,nasa,60,708,Jul,566,-138,-19.6
7,2019,smithsonian,54,61,Jul,557,NA,NA
7,2020,smithsonian,60,169,Jul,538,-19,-3.4
7,2021,smithsonian,54,277,Jul,554,16,3
7,2022,smithsonian,56,385,Jul,494,-60,-10.8
7,2023,smithsonian,57,493,Jul,512,18,3.6
7,2024,smithsonian,34,601,Jul,445,-67,-13.1
7,2025,smithsonian,47,709,Jul,392,-53,-11.9
7,2019,usda,173,62,Jul,1900,NA,NA
7,2020,usda,163,170,Jul,1781,-119,-6.3
7,2021,usda,179,278,Jul,1605,-176,-9.9
7,2022,usda,146,386,Jul,1562,-43,-2.7
7,2023,usda,143,494,Jul,1539,-23,-1.5
7,2024,usda,123,602,Jul,1418,-121,-7.9
7,2025,usda,120,710,Jul,1230,-188,-13.3
7,2019,va,340,63,Jul,2933,NA,NA
7,2020,va,337,171,Jul,2851,-82,-2.8
7,2021,va,347,279,Jul,3005,154,5.4
7,2022,va,367,387,Jul,3070,65,2.2
7,2023,va,321,495,Jul,2842,-228,-7.4
7,2024,va,221,603,Jul,2722,-120,-4.2
7,2025,va,198,711,Jul,2282,-440,-16.2
