value,n
scopus_id_total,5360
no_fed_affils,8094
total_pubs,1062982
total_authors,9273333
total_unique_authors,2264907
total_federals,209409
total_NOTfederals,2125054
prop_papers_fed_1st,16.503101651768326
prop_papers_fed_last,15.62180733069798
