PM,PY,n,month,month_name,cumul_pubs,change_n,perc_previous
7,2019,3650,7,Jul,33865,NA,NA
7,2020,4260,19,Jul,34211,346,1.02
7,2021,4253,31,Jul,36085,1874,5.48
7,2022,3895,43,Jul,34543,-1542,-4.27
7,2023,3675,55,Jul,33504,-1039,-3.01
7,2024,3516,67,Jul,32899,-605,-1.81
7,2025,3197,79,Jul,29971,-2928,-8.9
