PM,PY,n,month,month_name,cumul_pubs,change_n,perc_previous
7,2019,973,7,Jul,10547,NA,NA
7,2020,1064,19,Jul,9759,-788,-7.47
7,2021,1053,31,Jul,10333,574,5.88
7,2022,1000,43,Jul,9491,-842,-8.15
7,2023,961,55,Jul,9534,43,0.45
7,2024,813,67,Jul,8781,-753,-7.9
7,2025,678,79,Jul,7242,-1539,-17.53
