value,n
scopus_id_initial,5360
scopus_id_followup,7355
no_fed_affils,7370
total_pubs,457433
total_authors,4413379
total_unique_authors,1207525
total_federals,217603
total_NOTfederals,989922
papers_w_allfed_authors,100535
prop_papers_fed_1st,49.50255010023326
prop_papers_fed_last,51.53541611558414
