agency,agency_primary,n,perc
doe,doe,53825,23.769988650465244
va,va,33620,14.84713457368586
nih,hhs,33088,14.612194788046335
dod,dod,27650,12.210686227317492
usda,usda,17209,7.599772126072575
cdc,hhs,10947,4.834371867285518
interior,interior,8715,3.8486846463317153
nasa,nasa,7866,3.4737525448129976
fda,hhs,5776,2.550774815514858
smithsonian,smithsonian,5440,2.4023917930056835
noaa,commerce,5079,2.242968367036005
nist,commerce,4835,2.1352140292614856
nsf,nsf,3014,1.3310310411983697
epa,epa,2587,1.1424609500929601
federal reserve system,federal reserve system,1791,0.790934503910511
hhs,hhs,1472,0.6500589557544791
commerce,commerce,376,0.1660476680459811
usaid,state,331,0.14617494181707377
state,state,230,0.10157171183663735
ahrq,hhs,215,0.09494746976033491
doj,doj,204,0.09008969223771314
nrc,other,192,0.08479029857667118
multiagency,other,185,0.08169898560773005
dot,dot,176,0.07772444036194859
dhs,dhs,167,0.07374989511616713
nasem,other,153,0.06756726917828486
treasury,treasury,149,0.0658008046246042
other,other,131,0.057851714133041285
congress,other,110,0.04857777522621787
woodrow wilson international center for scholars,other,85,0.037537371765713805
education,education,74,0.03267959424309202
ftc,other,67,0.029588281274150884
cbo,other,54,0.02384727147468877
us institute of peace,other,53,0.023405655336268608
labor,labor,48,0.021197574644167796
faa,dot,46,0.020314342367327473
ssa,other,43,0.018989493952066984
eop,other,29,0.01280686801418471
cfpb,other,27,0.011923635737344385
sec,other,27,0.011923635737344385
us holocaust memorial museum,other,25,0.011040403460504061
fhfa,other,21,0.00927393890682341
hud,hud,21,0.00927393890682341
commodity futures trading commission,other,20,0.008832322768403249
dea,doj,20,0.008832322768403249
dha,dod,19,0.008390706629983086
cia,other,18,0.007949090491562923
fdic,other,18,0.007949090491562923
gsa,other,17,0.007507474353142761
fema,dhs,15,0.006624242076302436
tva,other,15,0.006624242076302436
usphs,hhs,15,0.006624242076302436
national center for missing & exploited children,other,13,0.005741009799462111
fcc,other,12,0.005299393661041949
cpsc,other,10,0.0044161613842016246
national archives and records administration,other,10,0.0044161613842016246
ntsb,other,10,0.0044161613842016246
gao,other,9,0.0039745452457814615
judiciary,other,9,0.0039745452457814615
nea,other,8,0.0035329291073612993
public company accounting oversight board,other,7,0.003091312968941137
irs,treasury,6,0.0026496968305209745
nsc,other,6,0.0026496968305209745
usuhs,other,6,0.0026496968305209745
us global change research program,other,5,0.0022080806921008123
equal employment opportunity commission,other,4,0.0017664645536806496
john f kennedy center for the performing arts,other,3,0.0013248484152604872
fmc,other,2,8.832322768403248e-4
odni,other,2,8.832322768403248e-4
opm,other,2,8.832322768403248e-4
federal maritime commission,other,1,4.416161384201624e-4
financial industry regulatory authority,other,1,4.416161384201624e-4
government publishing office,other,1,4.416161384201624e-4
imls,other,1,4.416161384201624e-4
interagency,other,1,4.416161384201624e-4
susquehanna river basin commission,other,1,4.416161384201624e-4
usps,other,1,4.416161384201624e-4
