uni,total_papers
harvard,128823
other,671155
penn,84103
ucla,69299
stanford,84572
washington,72027
minn,56288
ucsf,57934
michigan,85905
unc_ch,54275
florida,61122
ucsd,58269
NA,296
ohio_state,56593
