SO,n,perc
nature communications,3017,0.8157096430560588
plos one,2985,0.807057767491659
proceedings of the national academy of sciences of the united states of america,2744,0.7418983296472739
scientific reports,2652,0.7170241873996247
jama network open,2311,0.6248276384164905
astrophysical journal,1389,0.37554547371722424
journal of the american chemical society,1181,0.31930828254862625
nature,1084,0.29308228474403963
science advances,1036,0.2801044713974401
science,971,0.26253034915725326
elife,939,0.25387847359285354
cell reports,880,0.2379265780209916
physical review b,853,0.23062655801352935
journal of general internal medicine,800,0.21629688910999237
international journal of molecular sciences,796,0.21521540466444244
physical review d,754,0.2038598179861678
cancers,721,0.19493757131038061
physical review letters,703,0.1900708913054058
journal of high energy physics,693,0.1873671801915309
frontiers in immunology,672,0.18168938685239358
annals of surgical oncology,667,0.18033753129545615
new england journal of medicine,653,0.17655233573603127
pediatrics,651,0.1760115935132563
journal of biological chemistry,623,0.16844120239440658
international journal of environmental research and public health,622,0.16817083128301907
monthly notices of the royal astronomical society,622,0.16817083128301907
geophysical research letters,620,0.1676300890602441
clinical infectious diseases,612,0.16546712016914417
cell,604,0.16330415127804424
world neurosurgery,586,0.1584374712730694
journal of the american academy of dermatology,569,0.1538411623794821
laryngoscope,560,0.15140782237699466
urology,553,0.14951522459728223
journal of clinical investigation,543,0.14681151348340732
plastic and reconstructive surgery,534,0.1443781734809199
jci insight,533,0.14410780236953244
journal of the american heart association,522,0.14113372014427003
journal of surgical research,516,0.13951149347594508
bmj open,515,0.1392411223645576
journal of chemical physics,510,0.13788926680762015
annals of surgery,507,0.13707815347345767
neurology,483,0.1305892468001579
jama,478,0.12923739124322045
acs nano,471,0.12734479346350802
acs applied materials and interfaces,464,0.1254521956837956
clinical cancer research,463,0.1251818245724081
iscience,453,0.12247811345853318
journal of clinical medicine,447,0.12085588679020824
journal of neuroscience,446,0.12058551567882074
jama internal medicine,437,0.11815217567633332
bmc public health,435,0.11761143345355834
journal of the american geriatrics society,435,0.11761143345355834
applied physics letters,434,0.11734106234217087
current biology,425,0.11490772233968345
methods in molecular biology,423,0.11436698011690848
nutrients,419,0.11328549567135851
blood advances,417,0.11274475344858353
nano letters,417,0.11274475344858353
neuron,417,0.11274475344858353
academic medicine,415,0.11220401122580853
aids and behavior,412,0.11139289789164608
journal of urology,412,0.11139289789164608
annals of internal medicine,403,0.10895955788915866
mbio,401,0.10841881566638369
open forum infectious diseases,401,0.10841881566638369
nucleic acids research,400,0.10814844455499618
angewandte chemie international edition,397,0.10733733122083372
otolaryngology head and neck surgery united states,395,0.10679658899805874
plos computational biology,391,0.10571510455250877
jama surgery,390,0.10544473344112129
journal of the american college of radiology,390,0.10544473344112129
journal of pediatrics,388,0.1049039912183463
jama journal of the american medical association,387,0.10463362010695881
analytical chemistry,382,0.10328176455002135
cells,379,0.1024706512158589
blood,377,0.1019299089930839
journal of visualized experiments,376,0.10165953788169643
journal of fluid mechanics,373,0.10084842454753395
american journal of epidemiology,372,0.10057805343614645
social science and medicine,371,0.10030768232475895
bioinformatics,368,0.09949656899059649
environmental science and technology,365,0.09868545565643402
ieee robotics and automation letters,364,0.09841508454504654
advanced materials,362,0.09787434232227156
science of the total environment,361,0.09760397121088406
digestive diseases and sciences,358,0.09679285787672158
jama health forum,354,0.09571137343117163
astronomical journal,352,0.09517063120839665
drug and alcohol dependence,348,0.09408914676284667
viruses,345,0.09327803342868421
bmj case reports,344,0.09300766231729672
journal of clinical endocrinology and metabolism,343,0.09273729120590923
alzheimer s and dementia,342,0.09246692009452175
journal of infectious diseases,342,0.09246692009452175
cancer,340,0.09192617787174676
plastic and reconstructive surgery global open,336,0.09084469342619679
nature medicine,335,0.0905743223148093
health affairs,334,0.09030395120342181
academic pediatrics,333,0.09003358009203433
molecular cell,333,0.09003358009203433
proceedings of the acm on human computer interaction,328,0.08868172453509687
surgery united states,327,0.08841135342370939
american journal of public health,326,0.08814098231232188
journal of the american medical informatics association,325,0.0878706112009344
journal of adolescent health,322,0.08705949786677193
journal of physical chemistry c,322,0.08705949786677193
anesthesia and analgesia,321,0.08678912675538444
journal of cardiothoracic and vascular anesthesia,321,0.08678912675538444
neurosurgery,320,0.08651875564399696
jaad case reports,319,0.08624838453260947
american journal of gastroenterology,316,0.08543727119844699
communications biology,316,0.08543727119844699
neuroimage,316,0.08543727119844699
annals of thoracic surgery,315,0.08516690008705949
circulation,315,0.08516690008705949
magnetic resonance in medicine,314,0.084896528975672
astrophysical journal letters,310,0.08381504453012205
american journal of preventive medicine,308,0.08327430230734707
frontiers in oncology,308,0.08327430230734707
jama ophthalmology,307,0.08300393119595957
plos pathogens,306,0.08273356008457208
american journal of roentgenology,304,0.0821928178617971
american journal of ophthalmology,302,0.08165207563902212
science translational medicine,302,0.08165207563902212
international journal of radiation oncology biology physics,301,0.08138170452763463
lancet,301,0.08138170452763463
nelson textbook of pediatrics volume 1 2,300,0.08111133341624714
star protocols,299,0.08084096230485965
american journal of surgery,296,0.08002984897069718
clinical orthopaedics and related research,296,0.08002984897069718
journal of medical internet research,296,0.08002984897069718
chemical science,294,0.0794891067479222
journal of the acoustical society of america,294,0.0794891067479222
medical physics,294,0.0794891067479222
gastroenterology,293,0.0792187356365347
clinical gastroenterology and hepatology,289,0.07813725119098475
acs catalysis,285,0.07705576674543478
physical review e,283,0.0765150245226598
journal of surgical education,281,0.07597428229988482
frontiers in neurology,280,0.07570391118849733
journal of physical chemistry letters,279,0.07543354007710984
journal of clinical oncology,276,0.07462242674294738
journal of perinatology,276,0.07462242674294738
pediatric radiology,275,0.07435205563155987
cancer research,273,0.0738113134087849
journal of immunology,273,0.0738113134087849
journal of dairy science,271,0.07327057118600991
journal of dental education,270,0.07300020007462242
statistics in medicine,267,0.07218908674045996
plos genetics,265,0.07164834451768498
macromolecules,264,0.07137797340629748
journal of gastrointestinal surgery,262,0.0708372311835225
journal of applied physics,261,0.07056686007213502
management science,261,0.07056686007213502
pediatric research,261,0.07056686007213502
surgical endoscopy,261,0.07056686007213502
journal of physical chemistry a,258,0.06975574673797254
frontiers in public health,257,0.06948537562658505
journal of computational physics,255,0.06894463340381007
chemistry of materials,254,0.06867426229242259
journal of medicinal chemistry,254,0.06867426229242259
pediatric dermatology,254,0.06867426229242259
journal of geophysical research space physics,253,0.06840389118103508
american journal of perinatology,252,0.0681335200696476
american surgeon,252,0.0681335200696476
advanced functional materials,250,0.06759277784687262
pediatric blood and cancer,250,0.06759277784687262
journal of pediatric surgery,247,0.06678166451271014
journal of physical chemistry b,247,0.06678166451271014
journal of virology,246,0.06651129340132265
journal of chemical theory and computation,245,0.06624092228993517
obstetrics and gynecology,245,0.06624092228993517
operative neurosurgery,245,0.06624092228993517
journal of the american college of cardiology,244,0.06597055117854768
nature biotechnology,244,0.06597055117854768
stroke,244,0.06597055117854768
journal of affective disorders,243,0.06570018006716019
aids,242,0.06542980895577269
anesthesiology,241,0.0651594378443852
diabetes care,241,0.0651594378443852
cancer epidemiology biomarkers and prevention,240,0.06488906673299771
journal of arthroplasty,240,0.06488906673299771
journal of hospital medicine,240,0.06488906673299771
american journal of transplantation,239,0.06461869562161023
physics of plasmas,239,0.06461869562161023
environmental research,238,0.06434832451022272
hospital pediatrics,237,0.06407795339883524
bmc health services research,236,0.06380758228744775
frontiers in neuroscience,234,0.06326684006467277
frontiers in physiology,234,0.06326684006467277
frontiers in psychology,234,0.06326684006467277
biochemistry,233,0.06299646895328528
journal of neurosurgery,232,0.0627260978418978
vaccine,232,0.0627260978418978
jama pediatrics,231,0.062455726730510294
journal of acquired immune deficiency syndromes,231,0.062455726730510294
abdominal radiology,230,0.062185355619122806
journal of emergency medicine,227,0.061374242284960336
nature neuroscience,227,0.061374242284960336
journal of pediatric orthopaedics,226,0.06110387117357285
physics in medicine and biology,224,0.06056312895079786
organic letters,223,0.06029275783941037
transplantation,222,0.06002238672802288
clinical pharmacology and therapeutics,221,0.0597520156166354
jama oncology,221,0.0597520156166354
jco oncology practice,221,0.0597520156166354
nature genetics,220,0.0594816445052479
physical review research,220,0.0594816445052479
biometrics,219,0.05921127339386041
contraception,219,0.05921127339386041
journal of the american academy of orthopaedic surgeons,219,0.05921127339386041
acs chemical biology,218,0.05894090228247292
journal of palliative medicine,218,0.05894090228247292
contemporary clinical trials,217,0.058670531171085435
optics express,217,0.058670531171085435
american journal of emergency medicine,216,0.05840016005969794
plos global public health,216,0.05840016005969794
american journal of respiratory and critical care medicine,215,0.05812978894831045
gynecologic oncology,215,0.05812978894831045
nature methods,215,0.05812978894831045
journal of geophysical research atmospheres,214,0.057859417836922965
environmental research letters,213,0.05758904672553546
soft matter,212,0.057318675614147975
otology and neurotology,211,0.05704830450276049
plos biology,210,0.056777933391373006
supportive care in cancer,210,0.056777933391373006
preventive medicine,209,0.056507562279985504
preventive medicine reports,209,0.056507562279985504
