mean_bs_c_pubs,median_bs_c_pubs,max_bs_c_pubs,min_bs_c_pubs,bs_cat,perc_below_obs
36876.772,36919.5,38491,34985,strict,0
36815.617,36745.5,43618,32053,open,1.7000000000000002
