PM,PY,n,month,month_name,cumul_pubs,change_n,perc_previous
8,2019,3323,8,Aug,36974,NA,NA
8,2020,3998,20,Aug,38220,1246,3.37
8,2021,4046,32,Aug,40256,2036,5.33
8,2022,3476,44,Aug,32176,-8080,-20.07
8,2023,3509,56,Aug,37003,4827,15
8,2024,3416,68,Aug,36486,-517,-1.4
8,2025,3175,80,Aug,33386,-3100,-8.5
