value,n
scopus_id_initial,487
scopus_id_followup,782
total_pubs,829388
total_authors,7417047
total_unique_authors,1951130
total_focal,407875
total_NOTfocal,1671356
prop_papers_focal_1st,47.53649679040449
prop_papers_focal_last,44.48726048604513
